"id","profileName","text","date","title","rating","images","helpful","Style name","Colour"
"R3A7LKHO3QIEI6","Vijay Gandhi","
  Battery Issue.... Phone is Heating during Charging and During Running Application.
","Reviewed in India on 19 April 2021","OnePlus 9R - Not As per Expectations",1,"","2","12GB RAM, 256GB Storage","Lake Blue"
"RTC2JFCZRT3ML","NeHaaL","
  Facing heating issue while using camera app and general usage in 60hz refresh rate if I use 120hz it gradually heating issue increase please solve this problem
","Reviewed in India on 19 April 2021","Heating issue",1,"","1","8GB RAM, 128GB Storage","Lake Blue"
"RKFNBV8UHH917","Mohit MJ","
  My first time buying a OnePlus phone and I really like the finish of the one. Camera is excellent, Android 11 is very smooth to use, functions are fast.Just my first day of usage so hard to be critical of anything. The downside for me is that there is no place expand the memory.---Updating my review after 100 days of using. Bought on April 19th updated review on July 29th.Super fast charging.. 30 mins and goes from say 30% battery to 100% battery charge.I also bought the OnePlus Buds Z along with the phone and these are great quality. Connecting the buds sometimes is an issue. Sometimes it will connect automatically and sometimes it will not detect.Overall I still love this phone though I think its a bit heavy and large screen for non-gamers.
","Reviewed in India on 19 April 2021","Amazing - True Flagship",5,"","916","8GB RAM, 128GB Storage","Lake Blue"
"R2575KONXPQXVE","ASHANNITA","
  HiPlease consider this message with a serious note the One Plus 9R which was bought on the above mention date got hanged and did not open exactly on the 13th day of buying it. The replacement policy was only for 10 days and my phone showed prblms from the 13th day. I took it to the One Plus Care Centre and they said it needed an update i waited for 3 days for the 'So Called' update to arrive but after 3 days the Care Centre informed me that this phone needed a Motherboard change when i ask them to replace the phone, they said that the care could not replace it for a new one because i had bought from amazon. They are now suggesting to replace it through amazon only. Is this what i bought a 40k One Plus phone for? If i can only tag the Oneplus company people in this!!!!!What kind of mobile phones do they sell???And also i want to claim a replacement of my phone from Amazon....i just dont care if the 10 days return policy is over.... I just want to say that i bought a 40k worth phone from you guys... And that it doesnt work...been waiting for more than 7 days now....with a ""Dabba"" phone in hand..... Is this the kind of service you provide??? I really would like you to have my phone replaced at the earliest Reply back soon......
","Reviewed in India on 30 May 2021","Claim for Replacement of Oneplus 9R phone...",1,"","817","8GB RAM, 128GB Storage","Lake Blue"
"RWXB385NSDLJL","AshokA","
  Within 10 minutes of usage. It’s felt like over heat. I can’t experienced any mobile like this.
","Reviewed in India on 19 April 2021","Over heat mobile",1,"https://images-na.ssl-images-amazon.com/images/I/717RcibvgTL.jpg","462","8GB RAM, 128GB Storage","Lake Blue"
"R17GHFVZYVH2DW","SANTHOSH S.","
  I don't why no reviewer is speaking about it. It was heating with a normal usage.
","Reviewed in India on 19 April 2021","HEATING ISSUE",1,"","389","8GB RAM, 128GB Storage","Lake Blue"
"R2F7UJ7OA9EZC8","nikhitha","
  Iam OnePlus user since 4 years, I exchange my one Plus 7 pro mobile with OnePlus 9 R Not expected From One Plus, quality is not good, Look like cheep mobile, camera quality also not good, one Plus 7 pro superb mobile, totally iam disappointed with 9R.
","Reviewed in India on 19 April 2021","Disappointed with 9 R Mobile",2,"","361","12GB RAM, 256GB Storage","Carbon Black"
"R12XXV10PA3GOI","Christhuraj","
  After 5 days of usage writing this review.1. Best camera quality for the price2. Snapdragon 870 is doing its best in speed with 120Hz display. - Best3. 65W charger takes only 35 min to charge 100% from 15%. - Best4.  Fluid amoled display is awesome on its smoothness. - best5. Lake blue colour is simply awesome 💙Issues1. Facing very lite heating issue.2. Found a bug and informed OnePlus customer service which is if we turn on call recording on call it indicates opponent also that we are recording call. They told they will correct it in next update. Hope this will be cleared but not sure.I give 95/100 for this mobile.
","Reviewed in India on 19 April 2021","Lovin it.",5,"https://images-na.ssl-images-amazon.com/images/I/71cbr2aMIPL.jpg","245","12GB RAM, 256GB Storage","Lake Blue"
"RGCBMCJ8WG5XY","ArcTyag","
  Writing after 4 Days of use1. Heating Issues -you will start noticing from the very first use2. Battery - charges 0 to 100 in just 35-40 mins but also drains so fast. Need to Charges twice in a day after using whatsapp, some browsing, calling.3. Camera - Not very good. Less than as expected. Think twice before buying if you are camera enthusiastic.4. Smooth- 120hZ and 60hZ both condition works well. I found it smooth to use and open apps5. Snap 870 processor really works.6. Other Oneplus features works good.7. Not a flagship phone.Money and Decision is yours..!!Thanks
","Reviewed in India on 21 April 2021","Honest Review after 4 Days of use.",3,"","188","12GB RAM, 256GB Storage","Carbon Black"
"RK7RWMLJFZWNR","Aditya","
  I am writing down this after using for a couple of days. I got the carbon black one with 12GB RAM.  Overall the device is good, and honestly is the reskin of one plus 8T with lower price 😁.  I will list down the pros and cons -pros -1. With Oxygen OS 11, the overall user experience is quite smooth. You will get an update as soon as you finish setup.2. The Warp 65 fast charging is fine, takes around 35 mins for one full charge.3. The screen to body ratio is good.4. The matt finish on the back side is awesome.Cons -1. Battery drains a little fast, not sure if some future updates will fix it.2. Rear Camera is ok, can be better.3. I would have preferred popup front camera, rather than the punch hole.4. For dual apps, I would have loved to see the option for all apps. Right now it has support for few.5. support for few more 5G bands will be good to have.
","Reviewed in India on 19 April 2021","Very good budget smartphone form OnePlus",4,"https://images-na.ssl-images-amazon.com/images/I/61+eeszFwtL.jpg
https://images-na.ssl-images-amazon.com/images/I/61cI6YCLFXL.jpg
https://images-na.ssl-images-amazon.com/images/I/71+GUKO9l9L.jpg","164","12GB RAM, 256GB Storage","Carbon Black"
"R7VFBVX89RRBM","Nethra","
  OnePlus 9r is best of both world that you get from samsung and apple. I would rate full 5 stars for mobile except camera and heating issue. Also, the delivery experience while exchanging mobile turned out to be worst. Hence rating overall 1star for the bad and worst humiliated experience. Now I'm afraid to order again from Amazon.
","Reviewed in India on 20 April 2021","It's not a worthy mobile, it has camera and heating issue for this price it's not good",1,"","152","8GB RAM, 128GB Storage","Carbon Black"
"R3V31IA57JJVSG","Ramapriya Sriram","
  Worst phone by one plusHeating issues :yesBattery drain : yesPhone hang or crash : twice in a dayPhone needs a restart daily else it will stop working. Once it's restarted all settings changes to default.Dissatisfied, disappointed by one plus
","Reviewed in India on 21 April 2021","Worst phone by one plus",1,"","128","12GB RAM, 256GB Storage","Lake Blue"
"R2ZVH8P5QPDGA6","Rahul","
  I have recieved this new phone yesterday. Since I have started using its been heating all the time, while on charge, playing games etc.. All other things are pretty good.
","Reviewed in India on 19 April 2021","Heating problem",3,"","126","12GB RAM, 256GB Storage","Lake Blue"
"R1ACWFN2AQU756","sujith","
  Disappointed. This was my first purchase of oneplus phone and I was so eager to get a hand on it. But seriously there is need for improvement. Battery is like a candle as it is draining easily. Product has no premium finish. Also the display is not up-to the mark. They're claiming it as a gaming phone and sorry to say that you can't use it as a gaming device. Also the camera is average. Please don't go for it as there are lot of other good smartphones in the market with same set of features for 40k. Big no from my side. One plus Nord is better than this and I would recommend One plus should call back entire.  9R series.
","Reviewed in India on 26 April 2021","Dissapointed.. Big No",1,"","95","8GB RAM, 128GB Storage","Lake Blue"
"R372BBNRZLA13U","devil","
  First of all, it is hearing every time I use camera and play games. And picture quality is much below average. I previously owned Oneplus7 T and I had to sell that in order to buy this one. It was a wrong decision. The sensor is so bad and whenever I click a photo it is never detailed but only superfluous. I am disappointed.
","Reviewed in India on 30 April 2021","Don't buy it.",1,"https://images-na.ssl-images-amazon.com/images/I/D1HWtq7pRlS.jpg
https://images-na.ssl-images-amazon.com/images/I/D1QidIL3CsS.jpg","96","12GB RAM, 256GB Storage","Lake Blue"
"R2SFHLQZPJBYH6","Amal","
  An overall decent phone. The clean software experience would be the reason to choose this instead of Mi 11X or IQOO 7. Hardware wise it's more than capable. The camera I would say , is decent. It depends on your photography skills. The sensor specs only matter so much, I would say invest some time in learning photography. Check the photos attached. If you are a power user , this is one of the best value for money phones at this segment. For the custom rom folks , the kernel is open sourced, so in a year can expect decent ROM. I think IQOO bootloader is not unlocked so keep that in mind.
","Reviewed in India on 28 April 2021","You won't go wrong choosing OnePlus 9R. A decent choice for 2021.",5,"https://images-na.ssl-images-amazon.com/images/I/61NzIWfuL2L.jpg
https://images-na.ssl-images-amazon.com/images/I/91HnMr0pv6L.jpg
https://images-na.ssl-images-amazon.com/images/I/A10777dAvkL.jpg
https://images-na.ssl-images-amazon.com/images/I/B1rL2y4tmgS.jpg
https://images-na.ssl-images-amazon.com/images/I/C1Uy3KT41JS.jpg","88","12GB RAM, 256GB Storage","Carbon Black"
"RM1RMM02DFZQG","Raviteja","
  Review after 3 days usePros1) Build quality is awesome with aluminum frame and mate finish carbon black2) Display full HD+ Amoled screen display with 120hz refresh rate gives you the smooth experience3) The Snapdragon 870 processor will gives you good gaming experience4) Main camera is doing good performance with good picture quality and nightscape video is awesome and camera features were good5) usb-a to usb-c 65wat charger helps to full charge in 30 minCons1) It has heating issue after using phone for 40 min continuously2) Batery drain so fast as iam a heavy user it last me around 15 hours3) macro camera Is doing a worst performance
","Reviewed in India on 19 April 2021","Best phone in this price range",5,"https://images-na.ssl-images-amazon.com/images/I/B1RVJ74147S.jpg
https://images-na.ssl-images-amazon.com/images/I/C14D8HKb29S.jpg
https://images-na.ssl-images-amazon.com/images/I/C1Vic88u7zS.jpg","77","8GB RAM, 128GB Storage","Carbon Black"
"R9E5F62ZUEWD0","Alok","
  Battery issues
","Reviewed in India on 19 April 2021","Battery issues",1,"","79","8GB RAM, 128GB Storage","Lake Blue"
